,연도,선수이름,팀명,포지션,경기,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율
0,2015,김하성,넥센,유격수,140,139,1209 1/3,21,0,212,408,87,0.967,0,0,0,-
1,2015,박병호,넥센,1루수,131,131,1124 1/3,12,0,1113,93,103,0.990,0,0,0,-
2,2015,박동원,넥센,포수,126,122,1012,10,6,858,96,10,0.990,9,75,32,29.9
3,2015,유한준,넥센,우익수,81,68,570 2/3,2,0,126,0,0,0.984,0,0,0,-
4,2015,이택근,넥센,중견수,81,72,621 2/3,0,0,128,3,0,1.000,0,0,0,-
5,2015,서건창,넥센,2루수,72,67,566,11,0,148,174,49,0.967,0,0,0,-
6,2015,윤석민,넥센,3루수,72,64,560 1/3,11,0,49,110,17,0.935,0,0,0,-
7,2015,유한준,넥센,중견수,70,61,530,0,0,122,4,0,1.000,0,0,0,-
8,2015,조상우,넥센,투수,70,0,93 1/3,2,1,2,10,1,0.857,0,0,0,-
9,2015,김민성,넥센,3루수,69,62,547 2/3,4,0,57,111,11,0.977,0,0,0,-
10,2015,김지수,넥센,2루수,67,24,273 2/3,1,0,62,84,25,0.993,0,0,0,-
11,2015,고종욱,넥센,좌익수,66,57,481 2/3,3,0,104,1,0,0.972,0,0,0,-
12,2015,스나이더,넥센,우익수,60,53,470 1/3,1,0,81,3,2,0.988,0,0,0,-
13,2015,김재현,넥센,포수,58,15,204 2/3,2,1,153,15,1,0.988,1,21,7,25.0
14,2015,손승락,넥센,투수,58,0,61 1/3,1,0,5,16,0,0.955,0,0,0,-
15,2015,김영민,넥센,투수,57,4,90 1/3,1,0,1,12,1,0.929,0,0,0,-
16,2015,박헌도,넥센,좌익수,54,37,340 2/3,0,0,58,0,0,1.000,0,0,0,-
17,2015,스나이더,넥센,좌익수,50,39,356 2/3,1,0,73,2,0,0.987,0,0,0,-
18,2015,김대우,넥센,투수,47,1,71,0,0,6,5,0,1.000,0,0,0,-
19,2015,한현희,넥센,투수,45,17,123 1/3,2,1,8,16,0,0.923,0,0,0,-
20,2015,김택형,넥센,투수,37,10,58,1,0,5,8,0,0.929,0,0,0,-
21,2015,김민성,넥센,2루수,36,32,250,1,0,68,98,25,0.994,0,0,0,-
22,2015,마정길,넥센,투수,35,0,37 1/3,0,0,2,2,1,1.000,0,0,0,-
23,2015,문성현,넥센,투수,34,13,91 2/3,0,0,8,6,0,1.000,0,0,0,-
24,2015,서동욱,넥센,2루수,33,16,163 1/3,2,0,41,56,14,0.980,0,0,0,-
25,2015,밴헤켄,넥센,투수,32,32,196 2/3,3,1,11,23,0,0.919,0,0,0,-
26,2015,피어밴드,넥센,투수,30,30,177 1/3,4,13,1,44,1,0.918,0,0,0,-
27,2015,문우람,넥센,우익수,26,12,147,0,0,28,2,0,1.000,0,0,0,-
28,2015,이상민,넥센,투수,23,0,19 1/3,0,0,0,4,0,1.000,0,0,0,-
29,2015,김동준,넥센,투수,22,5,50 1/3,1,1,4,8,0,0.923,0,0,0,-
30,2015,김지수,넥센,3루수,22,5,72 2/3,0,0,1,15,3,1.000,0,0,0,-
31,2015,송신영,넥센,투수,18,16,69,0,0,3,8,1,1.000,0,0,0,-
32,2015,하영민,넥센,투수,18,2,34 2/3,0,0,2,8,1,1.000,0,0,0,-
33,2015,문우람,넥센,좌익수,17,5,65 1/3,0,0,12,2,0,1.000,0,0,0,-
34,2015,박헌도,넥센,우익수,17,7,75,0,0,14,0,0,1.000,0,0,0,-
35,2015,유선정,넥센,포수,17,7,69 1/3,1,0,68,3,1,0.986,0,15,2,11.8
36,2015,김지수,넥센,유격수,16,2,53 2/3,1,0,7,23,3,0.968,0,0,0,-
37,2015,양훈,넥센,투수,16,3,38 1/3,0,0,1,5,1,1.000,0,0,0,-
38,2015,유재신,넥센,1루수,14,0,22 2/3,1,0,24,2,4,0.963,0,0,0,-
