,연도,선수이름,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
0,2015,유한준,넥센,0.362,139,598,520,103,188,42,1,23,301,116,1,8
1,2015,박병호,넥센,0.343,140,622,528,129,181,35,1,53,377,146,0,4
2,2015,허정협,넥센,0.333,4,6,6,1,2,0,0,0,2,0,0,0
3,2015,홍성갑,넥센,0.333,7,10,9,0,3,0,0,0,3,2,0,0
4,2015,이택근,넥센,0.326,105,401,347,61,113,16,1,10,161,44,3,4
5,2015,고종욱,넥센,0.310,119,443,407,81,126,25,4,10,189,51,4,1
6,2015,김민성,넥센,0.303,118,489,445,60,135,24,0,16,207,71,2,3
7,2015,서건창,넥센,0.298,85,368,312,52,93,24,4,3,134,37,11,2
8,2015,윤석민,넥센,0.294,108,418,361,54,106,24,1,14,174,71,5,7
9,2015,김하성,넥센,0.290,140,582,511,89,148,35,5,19,250,73,4,6
10,2015,스나이더,넥센,0.281,113,487,431,88,121,26,1,26,227,71,3,5
11,2015,강지광,넥센,0.278,13,21,18,3,5,0,0,0,5,2,0,0
12,2015,장시윤,넥센,0.276,17,31,29,2,8,0,0,0,8,2,2,0
13,2015,박동원,넥센,0.266,127,443,379,47,101,12,1,14,157,61,10,8
14,2015,김재현,넥센,0.262,59,71,65,7,17,3,0,1,23,6,2,1
15,2015,유재신,넥센,0.259,62,32,27,21,7,2,0,0,9,3,2,0
16,2015,송성문,넥센,0.250,7,12,12,0,3,0,0,0,3,1,0,0
17,2015,박헌도,넥센,0.248,108,267,218,31,54,13,0,8,91,42,3,2
18,2015,유선정,넥센,0.240,17,27,25,1,6,0,0,0,6,2,0,0
19,2015,문우람,넥센,0.235,63,138,119,22,28,10,0,2,44,22,1,3
20,2015,김지수,넥센,0.235,104,151,132,23,31,7,0,0,38,13,7,1
21,2015,서동욱,넥센,0.233,55,118,103,14,24,5,0,3,38,15,1,0
22,2015,임병욱,넥센,0.186,40,52,43,13,8,1,1,1,14,3,0,0
23,2015,장영석,넥센,0.125,6,8,8,0,1,0,0,0,1,0,0,0
24,2015,김민준,넥센,0.000,2,2,1,1,0,0,0,0,0,0,0,0
25,2015,김택형,넥센,-,1,0,0,0,0,0,0,0,0,0,0,0
26,2015,마정길,넥센,-,1,0,0,0,0,0,0,0,0,0,0,0
27,2015,문성현,넥센,-,2,0,0,0,0,0,0,0,0,0,0,0
28,2015,손승락,넥센,-,1,0,0,0,0,0,0,0,0,0,0,0
29,2015,한현희,넥센,-,2,0,0,0,0,0,0,0,0,0,0,0
30,2015,박건우,두산,0.342,70,175,158,31,54,12,0,5,81,26,2,0
31,2015,김응민,두산,0.333,4,3,3,1,1,0,0,1,4,2,0,0
32,2015,고영민,두산,0.328,41,77,67,13,22,1,0,3,32,11,0,1
33,2015,김현수,두산,0.326,141,630,512,103,167,26,0,28,277,121,0,9
34,2015,양의지,두산,0.326,132,513,442,70,144,27,0,20,231,93,2,6
35,2015,허경민,두산,0.317,117,453,404,64,128,20,2,1,155,41,8,3
36,2015,김재호,두산,0.307,133,488,410,63,126,24,3,3,165,50,14,7
37,2015,민병헌,두산,0.303,129,561,491,80,149,20,2,12,209,75,6,6
38,2015,정수빈,두산,0.295,128,570,491,79,145,27,7,2,192,59,19,6
39,2015,오재일,두산,0.289,66,213,180,33,52,11,1,14,107,36,1,2
40,2015,최주환,두산,0.282,100,270,238,34,67,16,2,5,102,32,3,1
41,2015,오재원,두산,0.280,120,474,411,60,115,20,2,11,172,59,7,4
42,2015,유민상,두산,0.263,15,45,38,5,10,1,0,1,14,6,0,1
43,2015,홍성흔,두산,0.262,93,352,301,39,79,12,0,7,112,46,4,0
44,2015,로메로,두산,0.253,76,305,265,30,67,16,0,12,119,50,0,7
45,2015,김재환,두산,0.235,48,180,153,24,36,8,0,7,65,22,1,2
46,2015,정진호,두산,0.234,77,172,154,37,36,5,3,4,59,18,3,0
47,2015,국해성,두산,0.200,11,26,20,6,4,1,0,1,8,5,1,2
48,2015,류지혁,두산,0.200,14,5,5,3,1,0,0,0,1,0,0,0
49,2015,장민석,두산,0.189,53,63,53,15,10,2,0,0,12,4,1,1
50,2015,김진형,두산,0.167,14,21,18,3,3,2,0,1,8,2,0,0
