,연도,선수이름,팀명,평균자책점,경기,승,패,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당 출루허용률
0,2015,김정인,넥센,0.00,1,0,0,0,0,-,1,0,0,0,0,0,0,0,0.00
1,2015,양훈,넥센,1.41,16,2,1,0,0,0.667,38 1/3,33,1,14,0,15,9,6,1.23
2,2015,조상우,넥센,3.09,70,8,5,5,19,0.615,93 1/3,65,4,41,6,89,36,32,1.14
3,2015,밴헤켄,넥센,3.62,32,15,8,0,0,0.652,196 2/3,190,14,67,1,193,92,79,1.31
4,2015,손승락,넥센,3.82,58,4,6,23,0,0.400,61 1/3,73,6,13,3,63,35,26,1.40
5,2015,김영민,넥센,4.38,57,4,5,0,6,0.444,90 1/3,90,14,28,7,85,47,44,1.31
6,2015,금민철,넥센,4.50,7,1,1,0,0,0.500,22,25,2,14,2,11,11,11,1.77
7,2015,이정훈,넥센,4.50,2,0,0,0,0,-,2,3,0,0,0,0,2,1,1.50
8,2015,피어밴드,넥센,4.67,30,13,11,0,0,0.542,177 1/3,202,23,61,12,137,101,92,1.48
9,2015,한현희,넥센,4.82,45,11,4,0,10,0.733,123 1/3,126,14,41,13,122,70,66,1.35
10,2015,김대우,넥센,4.94,47,6,3,1,4,0.667,71,81,8,31,6,63,44,39,1.58
11,2015,마정길,넥센,5.06,35,0,0,0,0,-,37 1/3,36,4,17,6,33,22,21,1.42
12,2015,송신영,넥센,5.35,18,7,4,0,0,0.636,69,77,12,22,2,46,42,41,1.43
13,2015,문성현,넥센,6.28,34,0,5,0,1,0.000,91 2/3,114,10,39,5,58,75,64,1.67
14,2015,김동준,넥센,6.44,22,1,1,0,0,0.500,50 1/3,56,7,30,3,32,41,36,1.71
15,2015,배힘찬,넥센,6.75,7,0,1,0,0,0.000,6 2/3,10,1,6,0,1,7,5,2.40
16,2015,김정훈,넥센,7.04,13,0,2,0,1,0.000,15 1/3,20,2,10,3,11,14,12,1.96
17,2015,하영민,넥센,7.53,18,2,0,0,0,1.000,34 2/3,48,7,12,2,25,30,29,1.73
18,2015,김택형,넥센,7.91,37,4,4,0,2,0.500,58,79,7,42,6,55,58,51,2.09
19,2015,정회찬,넥센,9.00,1,0,0,0,0,-,1,2,1,1,0,1,1,1,3.00
20,2015,오재영,넥센,9.33,9,0,2,0,0,0.000,18 1/3,31,4,12,1,11,19,19,2.35
21,2015,구자형,넥센,10.13,3,0,0,0,0,-,2 2/3,4,0,2,0,1,3,3,2.25
22,2015,이상민,넥센,10.71,23,0,1,0,1,0.000,19 1/3,29,4,10,3,12,23,23,2.02
23,2015,김상수,넥센,10.80,2,0,1,0,0,0.000,5,10,1,5,0,2,8,6,3.00
24,2015,오장훈,두산,0.00,1,0,0,0,0,-,1,1,0,1,0,2,0,0,2.00
25,2015,김강률,두산,2.45,16,3,1,0,3,0.750,14 2/3,14,1,10,0,7,5,4,1.64
26,2015,이현승,두산,2.89,41,3,1,18,2,0.750,46 2/3,45,3,10,2,41,16,15,1.18
27,2015,허준혁,두산,3.57,16,3,2,0,0,0.600,63,52,7,41,6,45,37,25,1.48
28,2015,함덕주,두산,3.65,68,7,2,2,16,0.778,61 2/3,52,4,46,2,76,30,25,1.59
29,2015,유희관,두산,3.94,30,18,5,0,0,0.783,189 2/3,193,23,44,4,126,84,83,1.25
30,2015,윤명준,두산,3.97,60,4,6,6,7,0.400,68,72,9,30,5,48,33,30,1.50
31,2015,장원준,두산,4.08,30,12,12,0,0,0.500,169 2/3,182,13,68,14,128,86,77,1.47
32,2015,이현호,두산,4.19,49,6,1,0,2,0.857,86,83,8,35,4,87,43,40,1.37
33,2015,노경은,두산,4.47,47,1,4,4,0,0.200,58 1/3,57,6,37,5,41,33,29,1.61
34,2015,니퍼트,두산,5.10,20,6,5,0,0,0.545,90,104,4,33,4,76,54,51,1.52
35,2015,양현,두산,5.23,13,0,0,0,0,-,10 1/3,19,2,0,3,7,7,6,1.84
36,2015,스와잭,두산,5.26,20,5,7,0,1,0.417,92 1/3,110,9,30,4,72,57,54,1.52
37,2015,오현택,두산,5.30,61,1,3,0,13,0.250,56,59,6,16,4,45,33,33,1.34
38,2015,남경호,두산,6.00,5,0,0,0,0,-,9,5,2,7,1,10,7,6,1.33
39,2015,이재우,두산,6.26,37,0,2,0,9,0.000,46,44,9,28,5,47,33,32,1.57
40,2015,진야곱,두산,7.01,47,5,9,0,4,0.357,102 2/3,120,12,68,3,108,88,80,1.83
41,2015,김명성,두산,7.79,17,1,0,0,0,1.000,17 1/3,27,2,11,1,10,15,15,2.19
42,2015,마야,두산,8.17,13,2,5,0,0,0.286,68 1/3,83,6,31,5,62,62,62,1.67
43,2015,김수완,두산,8.80,9,0,0,0,0,-,15 1/3,22,4,9,3,13,15,15,2.02
44,2015,조승수,두산,9.00,1,0,0,0,0,-,1,2,1,1,0,1,1,1,3.00
45,2015,변진수,두산,10.80,1,1,0,0,0,1.000,1 2/3,1,0,3,1,1,2,2,2.40
46,2015,박종기,두산,11.57,3,0,0,0,0,-,2 1/3,4,1,3,0,2,3,3,3.00
