,¿¬µµ,¿ù,¼øÀ§,ÆÀ¸í,°æ±â,ÅË¼Æ,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,µµ½Ç,wOBA,wRAA
0,2015,3,1,·Ôµ¥,3,119,0.303,0.379,14.3,23.5,0.61,0.222,19.80,0.940,22.91,8.48,22.45,5.43,0.77,0.413,7.16,-
1,2015,3,2,µÎ»ê,2,72,0.297,0.268,8.3,6.9,1.20,0.219,16.00,0.868,11.45,6.44,10.87,5.37,0.22,0.372,1.62,-
2,2015,3,3,KIA,2,73,0.283,0.260,12.3,9.6,1.29,0.267,15.00,0.930,13.61,7.82,13.04,5.88,0.39,0.402,3.66,-
3,2015,3,4,»ï¼º,3,125,0.319,0.347,8.0,12.0,0.67,0.150,37.67,0.848,21.79,7.36,19.71,5.63,1.43,0.379,3.65,-
4,2015,3,5,ÇÑÈ­,2,95,0.257,0.310,13.7,16.8,0.81,0.094,74.00,0.736,12.09,5.18,12.27,4.87,1.08,0.348,0.07,-
5,2015,3,6,SK,2,76,0.219,0.255,11.8,17.1,0.69,0.125,64.00,0.655,7.30,3.58,6.57,5.56,0.22,0.301,-3.20,-
6,2015,3,7,Hero,2,85,0.205,0.228,11.8,16.5,0.71,0.137,36.50,0.660,8.92,4.08,7.80,3.93,0.39,0.306,-3.12,-
7,2015,3,8,LG,3,106,0.298,0.359,9.4,16.0,0.59,0.106,-,0.766,13.45,4.97,13.73,4.73,0.58,0.348,0.11,-
8,2015,3,9,KT,3,125,0.284,0.342,15.2,17.6,0.86,0.128,51.00,0.815,17.26,5.75,18.58,3.45,0.44,0.369,2.52,-
9,2015,3,10,NC,2,76,0.269,0.300,7.9,11.8,0.67,0.044,-,0.642,7.21,3.60,6.44,3.58,0.40,0.299,-3.32,-
10,2015,4,1,»ï¼º,23,889,0.271,0.289,10.7,16.8,0.64,0.197,21.25,0.821,129.73,5.77,124.54,5.99,5.48,0.360,10.32,-
11,2015,4,2,µÎ»ê,22,892,0.281,0.312,10.2,15.5,0.66,0.164,33.61,0.805,122.91,5.45,123.41,5.79,3.67,0.358,8.80,-
12,2015,4,3,LG,23,900,0.259,0.312,11.3,19.8,0.57,0.125,37.85,0.740,108.81,4.77,108.07,4.83,4.22,0.338,-7.57,-
13,2015,4,4,SK,22,873,0.278,0.337,11.8,19.7,0.60,0.129,38.79,0.781,117.85,5.51,119.40,4.77,3.25,0.356,7.23,-
14,2015,4,5,ÇÑÈ­,22,848,0.259,0.307,9.3,18.8,0.50,0.130,39.83,0.732,98.75,4.51,96.88,5.47,2.97,0.331,-12.08,-
15,2015,4,6,Hero,23,920,0.299,0.355,8.8,21.0,0.42,0.197,25.13,0.867,147.86,6.58,147.34,4.87,1.85,0.382,29.13,-
16,2015,4,7,·Ôµ¥,22,850,0.264,0.315,11.4,22.6,0.50,0.188,23.26,0.812,120.48,5.66,121.22,5.53,3.82,0.362,12.00,-
17,2015,4,8,NC,22,863,0.276,0.319,7.6,18.9,0.40,0.163,30.28,0.786,123.48,5.74,112.49,7.00,5.79,0.349,1.61,-
18,2015,4,9,KIA,23,911,0.250,0.308,9.9,21.2,0.47,0.108,46.88,0.690,97.21,4.12,91.57,4.51,2.53,0.316,-25.48,-
19,2015,4,10,KT,22,825,0.208,0.276,9.0,24.4,0.37,0.087,91.25,0.585,66.13,2.93,50.88,5.10,4.21,0.273,-55.12,-
20,2015,5,1,NC,26,1047,0.300,0.351,9.7,19.5,0.50,0.182,27.52,0.858,171.42,6.71,164.85,6.61,8.48,0.379,30.32,-
21,2015,5,2,Hero,27,1089,0.294,0.346,9.6,21.2,0.45,0.200,21.77,0.866,175.41,6.59,172.73,4.95,3.83,0.380,32.81,-
22,2015,5,3,»ï¼º,25,1008,0.287,0.317,11.3,15.2,0.74,0.150,30.57,0.812,147.85,6.02,145.41,5.57,5.02,0.364,15.90,-
23,2015,5,4,µÎ»ê,23,921,0.277,0.312,10.6,14.9,0.72,0.132,43.06,0.777,122.24,5.37,122.60,5.12,3.58,0.352,4.27,-
24,2015,5,5,·Ôµ¥,27,1092,0.303,0.358,9.4,21.2,0.45,0.200,21.68,0.881,182.11,6.81,180.20,5.16,6.35,0.387,39.89,-
25,2015,5,6,SK,25,965,0.252,0.297,9.0,18.6,0.48,0.119,40.00,0.708,108.47,4.35,103.88,5.28,4.58,0.324,-20.11,-
26,2015,5,7,ÇÑÈ­,27,1055,0.257,0.302,10.7,18.6,0.58,0.141,35.28,0.751,129.46,4.85,127.72,4.99,2.79,0.339,-7.84,-
27,2015,5,8,KIA,25,956,0.267,0.325,8.8,20.6,0.43,0.138,41.45,0.752,121.11,4.98,116.32,6.32,5.04,0.339,-6.51,-
28,2015,5,9,LG,26,1013,0.252,0.316,8.4,23.0,0.36,0.137,44.40,0.713,115.61,4.38,105.89,5.91,3.36,0.321,-24.27,-
29,2015,5,10,KT,27,1048,0.263,0.325,9.2,19.8,0.46,0.093,69.54,0.697,114.01,4.19,108.34,5.61,6.31,0.319,-26.31,-
30,2015,6,1,Hero,21,853,0.289,0.329,11.1,18.2,0.61,0.176,24.57,0.839,129.93,6.24,129.85,4.60,2.69,0.373,20.25,-
31,2015,6,2,LG,23,903,0.277,0.331,8.6,19.9,0.43,0.151,36.14,0.778,121.96,5.35,116.90,5.97,4.17,0.348,0.88,-
32,2015,6,3,KIA,20,720,0.237,0.277,6.2,20.0,0.31,0.144,35.83,0.682,75.96,3.91,66.47,5.70,3.61,0.307,-26.04,-
33,2015,6,4,ÇÑÈ­,22,867,0.277,0.336,9.5,20.8,0.46,0.157,31.08,0.795,118.77,5.48,118.44,5.25,3.16,0.356,7.04,-
34,2015,6,5,»ï¼º,21,836,0.312,0.360,7.5,18.8,0.40,0.177,27.78,0.856,132.89,6.42,130.16,5.72,3.15,0.377,22.75,-
35,2015,6,6,µÎ»ê,23,911,0.301,0.329,7.8,12.8,0.61,0.124,44.33,0.792,127.30,5.63,125.29,5.33,4.75,0.357,8.24,-
