,¿¬µµ,¿ù,¼øÀ§,ÆÀ¸í,°æ±â,QS,¿ÏÅõ,¿ÏºÀ,»ïÁø/9,º¼³Ý/9,È¨·±/9,»ï/º¼,ÇÇ¾ÈÅ¸À²,ÇÇÃâ·çÀ²,ÇÇÀåÅ¸À²,ÇÇOPS,WHIP,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
0,2015,3,1,µÎ»ê,2,1,0,0,4.50,3.00,0.00,1.50,0.269,0.329,0.313,0.642,1.33,0.300,80.0,2.50,0.76,3.78,4.01,0.39
1,2015,3,2,KIA,2,1,0,0,6.00,3.50,0.00,1.71,0.324,0.382,0.456,0.837,1.61,0.386,75.9,3.50,0.96,3.45,3.55,0.40
2,2015,3,3,·Ôµ¥,3,2,0,0,6.84,6.12,0.72,1.12,0.295,0.404,0.400,0.804,1.80,0.347,74.1,5.04,0.76,5.06,5.21,0.49
3,2015,3,4,»ï¼º,3,1,0,0,7.00,4.67,0.33,1.50,0.216,0.319,0.340,0.659,1.30,0.263,63.6,4.67,0.64,4.21,4.30,0.39
4,2015,3,5,ÇÑÈ­,2,1,0,0,6.20,4.43,0.89,1.40,0.205,0.318,0.342,0.660,1.23,0.228,78.5,3.54,1.08,5.29,5.46,0.22
5,2015,3,6,Hero,2,0,0,0,6.86,5.57,0.43,1.23,0.257,0.385,0.351,0.736,1.52,0.310,77.4,3.86,0.81,5.00,5.18,0.16
6,2015,3,7,SK,2,0,0,0,4.76,4.76,0.53,1.00,0.292,0.378,0.375,0.753,1.76,0.323,74.3,4.76,0.28,5.09,5.40,0.10
7,2015,3,8,NC,2,1,0,0,2.81,3.38,2.25,0.83,0.297,0.352,0.516,0.868,1.56,0.268,61.9,5.62,0.07,7.18,7.57,-0.21
8,2015,3,9,LG,3,1,0,0,7.23,5.32,1.90,1.36,0.290,0.385,0.505,0.891,1.73,0.314,71.4,6.46,0.30,6.53,6.64,-0.07
9,2015,3,10,KT,3,0,0,0,7.92,4.68,2.16,1.69,0.327,0.410,0.598,1.008,1.92,0.367,60.1,8.28,-0.42,6.78,6.82,-0.11
10,2015,4,1,»ï¼º,23,17,0,0,8.88,2.51,0.92,3.54,0.251,0.311,0.392,0.703,1.22,0.310,74.9,3.61,7.08,3.99,3.78,5.66
11,2015,4,2,µÎ»ê,22,10,1,1,8.91,4.79,1.07,1.86,0.259,0.356,0.409,0.765,1.50,0.319,69.1,4.84,5.36,4.90,4.83,2.84
12,2015,4,3,LG,23,7,0,0,6.95,3.45,0.96,2.01,0.267,0.346,0.414,0.759,1.38,0.308,71.9,4.24,5.30,4.81,4.85,2.57
13,2015,4,4,SK,22,5,0,0,8.13,3.32,0.98,2.45,0.242,0.318,0.380,0.698,1.28,0.289,69.9,4.06,4.75,4.44,4.34,3.41
14,2015,4,5,ÇÑÈ­,22,3,0,0,7.54,4.69,1.01,1.61,0.268,0.368,0.393,0.760,1.54,0.314,68.2,5.06,3.70,5.19,5.25,1.87
15,2015,4,6,Hero,23,8,0,0,9.27,3.72,0.98,2.49,0.259,0.338,0.401,0.740,1.41,0.326,68.0,4.79,3.95,4.37,4.20,3.90
16,2015,4,7,·Ôµ¥,22,12,1,0,7.89,3.02,0.97,2.62,0.273,0.335,0.405,0.740,1.39,0.325,69.6,4.55,5.90,4.34,4.24,4.24
17,2015,4,8,NC,22,7,0,0,6.95,3.68,1.03,1.89,0.260,0.344,0.417,0.761,1.38,0.293,63.2,5.41,2.23,5.09,5.15,1.74
