,¿¬µµ,¿ù,¼øÀ§,ÆÀ¸í,°æ±â,ÆÀ½Â,ÆÀ¹«,ÆÀÆÐ,½Â·ü,RA/G,½ÇÁ¡,ÀÚÃ¥,ÇÇÈ¨·±,º¼³Ý%,»ïÁø%,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
0,2015,3,1,µÎ»ê,2,2,0,0,1.000,2.50,5,5,0,7.9,11.8,0.300,80.0,2.50,0.76,3.78,4.01,0.39
1,2015,3,2,KIA,2,2,0,0,1.000,3.50,7,7,0,9.1,15.6,0.386,75.9,3.50,0.96,3.45,3.55,0.40
2,2015,3,3,·Ôµ¥,3,3,0,0,1.000,4.67,14,14,2,14.8,16.5,0.347,74.1,5.04,0.76,5.06,5.21,0.49
3,2015,3,4,»ï¼º,3,2,0,1,0.667,4.67,14,14,1,12.2,18.3,0.263,63.6,4.67,0.64,4.21,4.30,0.39
4,2015,3,5,ÇÑÈ­,2,1,0,1,0.500,4.00,8,8,2,11.8,16.5,0.228,78.5,3.54,1.08,5.29,5.46,0.22
5,2015,3,6,Hero,2,1,0,1,0.500,4.50,9,9,1,13.7,16.8,0.310,77.4,3.86,0.81,5.00,5.18,0.16
6,2015,3,7,SK,2,1,0,1,0.500,4.50,9,9,1,11.0,11.0,0.323,74.3,4.76,0.28,5.09,5.40,0.10
7,2015,3,8,NC,2,0,0,2,0.000,6.50,13,10,4,8.3,6.9,0.268,61.9,5.62,0.07,7.18,7.57,-0.21
8,2015,3,9,LG,3,0,0,3,0.000,5.67,17,17,5,12.6,17.1,0.314,71.4,6.46,0.30,6.53,6.64,-0.07
9,2015,3,10,KT,3,0,0,3,0.000,8.33,25,23,6,10.5,17.7,0.367,60.1,8.28,-0.42,6.78,6.82,-0.11
10,2015,4,1,»ï¼º,23,15,0,8,0.652,3.83,88,82,21,6.7,23.6,0.310,74.9,3.61,7.08,3.99,3.78,5.66
11,2015,4,2,µÎ»ê,22,14,0,8,0.636,5.41,119,108,24,12.0,22.4,0.319,69.1,4.84,5.36,4.90,4.83,2.84
12,2015,4,3,LG,23,13,0,10,0.565,4.65,107,97,22,8.9,17.9,0.308,71.9,4.24,5.30,4.81,4.85,2.57
13,2015,4,4,SK,22,12,0,10,0.545,4.46,98,87,21,8.6,21.2,0.289,69.9,4.06,4.75,4.44,4.34,3.41
14,2015,4,5,ÇÑÈ­,22,12,0,10,0.545,5.59,123,110,22,11.5,18.4,0.314,68.2,5.06,3.70,5.19,5.25,1.87
15,2015,4,6,Hero,23,12,0,11,0.522,5.04,116,108,22,9.4,23.5,0.326,68.0,4.79,3.95,4.37,4.20,3.90
16,2015,4,7,·Ôµ¥,22,11,0,11,0.500,4.77,105,98,21,7.7,20.2,0.325,69.6,4.55,5.90,4.34,4.24,4.24
17,2015,4,8,NC,22,10,0,12,0.455,5.68,125,116,22,9.3,17.6,0.293,63.2,5.41,2.23,5.09,5.15,1.74
18,2015,4,9,KIA,23,10,0,13,0.435,5.17,119,111,26,11.2,17.1,0.312,72.9,4.77,4.34,5.34,5.43,1.32
19,2015,4,10,KT,22,3,0,19,0.136,6.09,134,120,28,14.2,16.6,0.334,70.4,5.52,2.32,5.99,6.16,0.07
20,2015,5,1,NC,26,20,1,5,0.800,3.73,97,89,18,9.2,19.8,0.292,75.9,3.41,8.77,4.32,4.29,4.29
21,2015,5,2,Hero,27,15,1,11,0.577,5.59,151,137,32,9.5,19.3,0.321,68.0,5.06,3.68,5.02,5.00,2.71
22,2015,5,3,»ï¼º,25,14,0,11,0.560,4.28,107,98,31,7.0,22.7,0.304,74.4,4.01,6.56,4.59,4.42,4.04
23,2015,5,4,µÎ»ê,23,12,0,11,0.522,5.96,137,130,24,9.8,17.4,0.330,65.9,5.75,3.98,5.09,5.14,2.58
24,2015,5,5,·Ôµ¥,27,14,0,13,0.519,5.67,153,141,32,10.0,19.0,0.339,69.5,5.29,3.49,5.16,5.15,1.83
25,2015,5,6,SK,25,12,1,12,0.500,4.60,115,106,27,9.5,21.4,0.297,72.0,4.28,6.06,4.63,4.53,3.65
26,2015,5,7,ÇÑÈ­,27,13,0,14,0.481,5.74,155,144,25,11.9,16.2,0.334,68.5,5.47,2.78,5.23,5.36,1.87
27,2015,5,8,KIA,25,12,0,13,0.480,4.68,117,108,24,10.5,18.5,0.324,73.3,4.46,4.00,5.05,5.09,1.97
28,2015,5,9,LG,26,8,1,17,0.320,5.81,151,144,26,9.1,20.1,0.357,66.6,5.61,3.64,4.69,4.63,3.49
29,2015,5,10,KT,27,7,0,20,0.259,6.78,183,153,27,9.9,19.2,0.346,59.9,5.72,0.50,4.87,4.85,2.69
30,2015,6,1,Hero,21,12,0,9,0.571,4.81,101,90,26,9.1,19.4,0.309,73.3,4.33,3.83,5.13,5.12,1.75
31,2015,6,2,LG,23,13,0,10,0.565,4.22,97,87,15,7.4,20.2,0.329,72.6,3.81,5.40,4.03,3.94,4.36
32,2015,6,3,KIA,20,11,0,9,0.550,4.30,86,84,18,9.1,16.6,0.300,73.3,4.32,5.48,4.91,5.00,2.03
33,2015,6,4,ÇÑÈ­,22,12,0,10,0.545,4.54,100,80,28,10.2,17.9,0.271,74.3,3.67,5.13,5.33,5.38,1.57
34,2015,6,5,»ï¼º,21,11,0,10,0.524,5.29,111,104,26,7.9,20.0,0.306,66.3,5.06,3.61,4.83,4.76,2.78
35,2015,6,6,µÎ»ê,23,12,0,11,0.522,4.52,104,101,22,8.8,18.8,0.313,72.3,4.46,5.27,4.66,4.65,2.85
36,2015,6,7,NC,22,11,0,11,0.500,4.91,108,98,20,7.8,18.5,0.329,69.8,4.63,3.48,4.57,4.55,2.92
37,2015,6,8,KT,23,11,0,12,0.478,6.61,152,133,24,9.1,19.1,0.367,62.7,5.93,1.53,4.80,4.75,2.50
38,2015,6,9,SK,22,10,0,12,0.455,5.23,115,105,18,8.2,19.6,0.346,68.2,4.81,3.64,4.27,4.18,3.49
39,2015,6,10,·Ôµ¥,21,6,0,15,0.286,6.86,144,121,32,6.9,16.2,0.350,62.0,5.98,1.03,5.41,5.43,1.17
40,2015,7,1,»ï¼º,21,14,0,7,0.667,5.81,122,111,34,8.4,20.0,0.324,69.8,5.31,2.71,5.46,5.39,1.31
41,2015,7,2,Hero,20,12,0,8,0.600,5.95,119,102,16,7.6,17.5,0.326,60.3,5.06,1.79,4.30,4.30,3.04
42,2015,7,3,µÎ»ê,21,11,0,10,0.524,5.57,117,112,16,9.0,17.2,0.352,67.0,5.39,3.55,4.57,4.61,2.47
