,¿¬µµ,¿ù,¼øÀ§,ÆÀ¸í,°æ±â,½Â,ÆÐ,¼¼,È¦µå,ºí·Ð,QS,ÀÌ´×,Å¸ÀÚ,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,½ÇÁ¡,ÀÚÃ¥,»ïÁø,º¼³Ý,°í4,HBP,ÆøÅõ,º¸Å©,PK,µµ·ç,µµ½Ç
0,2015,3,1,µÎ»ê,2,2,0,1,3,0,1,18.0,76,18,3,0,0,5,5,9,6,0,1,0,1,0,2,2
1,2015,3,2,KIA,2,2,0,1,1,0,1,18.0,77,22,7,1,0,7,7,12,7,0,0,1,0,0,3,1
2,2015,3,3,·Ôµ¥,3,3,0,1,5,0,2,25.0,115,28,4,0,2,14,14,19,17,2,1,0,0,0,2,3
3,2015,3,4,»ï¼º,3,2,1,1,3,0,1,27.0,115,21,7,1,1,14,14,21,14,0,1,0,0,1,1,3
4,2015,3,5,ÇÑÈ­,2,1,1,1,2,1,1,20.1,85,15,4,0,2,8,8,14,10,0,2,1,0,2,2,0
5,2015,3,6,Hero,2,1,1,0,0,0,0,21.0,95,19,4,0,1,9,9,16,13,0,3,0,0,0,6,2
6,2015,3,7,SK,2,1,1,1,1,0,0,17.0,82,21,3,0,1,9,9,9,9,0,1,2,0,0,6,0
7,2015,3,8,NC,2,0,2,0,0,0,1,16.0,72,19,0,1,4,13,10,5,6,1,0,2,0,0,1,0
8,2015,3,9,LG,3,0,3,0,2,1,1,23.2,111,27,3,1,5,17,17,19,14,1,1,0,0,0,2,0
9,2015,3,10,KT,3,0,3,0,0,0,0,25.0,124,35,11,0,6,25,23,22,13,0,2,2,0,0,6,3
10,2015,4,1,»ï¼º,23,15,8,5,12,3,17,204.2,856,192,37,4,21,88,82,202,57,2,14,9,0,1,16,9
11,2015,4,2,µÎ»ê,22,14,8,3,9,4,10,201.0,890,194,33,4,24,119,108,199,107,1,9,7,1,2,11,7
12,2015,4,3,LG,23,13,10,5,5,1,7,206.0,889,206,39,4,22,107,97,159,79,3,17,15,0,2,25,14
13,2015,4,4,SK,22,12,10,5,10,2,5,192.2,821,175,37,0,21,98,87,174,71,4,11,11,1,1,15,8
14,2015,4,5,ÇÑÈ­,22,12,10,7,10,4,3,195.2,889,200,27,0,22,123,110,164,102,4,19,23,1,2,26,5
15,2015,4,6,Hero,23,12,11,4,8,1,8,203.0,889,202,35,5,22,116,108,209,84,0,11,15,1,4,21,6
16,2015,4,7,·Ôµ¥,22,11,11,4,6,3,12,194.0,840,205,36,0,21,105,98,170,65,4,8,13,1,2,15,8
17,2015,4,8,NC,22,10,12,4,10,1,7,193.0,849,187,41,3,22,125,116,149,79,1,21,11,0,1,17,7
18,2015,4,9,KIA,23,10,13,3,12,3,7,209.1,939,218,55,9,26,119,111,161,105,8,18,13,0,3,26,10
19,2015,4,10,KT,22,3,19,1,1,1,5,195.2,909,222,37,3,28,134,120,151,129,4,9,24,0,5,15,17
20,2015,5,1,NC,26,20,5,10,14,3,9,235.0,1003,209,31,3,18,97,89,199,92,4,22,12,0,0,14,6
21,2015,5,2,Hero,27,15,11,7,12,3,11,243.2,1083,259,47,6,32,151,137,209,103,3,15,13,2,6,23,6
22,2015,5,3,»ï¼º,25,14,11,7,10,1,13,220.0,927,214,47,2,31,107,98,210,65,1,13,6,1,4,13,7
23,2015,5,4,µÎ»ê,23,12,11,5,9,4,10,203.1,930,230,41,2,24,137,130,162,91,3,16,8,1,0,24,7
24,2015,5,5,·Ôµ¥,27,14,13,4,11,3,9,240.0,1085,271,60,3,32,153,141,206,108,7,21,18,1,2,27,13
25,2015,5,6,SK,25,12,12,7,11,1,8,223.0,973,212,46,0,27,115,106,208,92,5,10,14,1,3,24,9
26,2015,5,7,ÇÑÈ­,27,13,14,7,12,2,5,237.0,1099,269,51,0,25,155,144,178,131,9,16,17,3,0,42,16
27,2015,5,8,KIA,25,12,13,5,9,5,10,218.0,960,222,34,4,24,117,108,178,101,5,23,11,0,4,30,15
28,2015,5,9,LG,26,8,17,2,1,1,8,231.0,1035,267,49,6,26,151,144,208,94,4,19,15,0,3,19,8
29,2015,5,10,KT,27,7,20,3,9,4,8,240.2,1099,273,46,10,27,183,153,211,109,3,18,21,2,2,33,11
30,2015,6,1,Hero,21,12,9,1,4,1,6,187.0,815,191,25,2,26,101,90,158,74,0,13,20,0,4,14,11
31,2015,6,2,LG,23,13,10,6,11,4,9,205.1,886,210,35,5,15,97,87,179,66,5,22,13,1,2,26,8
32,2015,6,3,KIA,20,11,9,7,12,1,10,175.0,747,173,28,4,18,86,84,124,68,0,12,7,0,2,16,7
